Portfolio,Beta_DOL,Beta_CAR,Lambda_DOL,Lambda_CAR,Rendement_Attendu_DOL,Rendement_Attendu_CAR,Rendement_Total_Attendu
P1CAR,1.000246413285852,-0.3909177456090167,0.0011948814933937664,0.006836429451905806,0.0011951759280687574,-0.0026724815893541033,-0.0014773056612853459
P2CAR,0.9467533422645447,-0.14268233267958252,0.0011948814933937664,0.006836429451905806,0.0011312580474805989,-0.0009754377013973202,0.00015582034608327866
P3CAR,0.9972847303353055,-0.014577414954109504,0.0011948814933937664,0.006836429451905806,0.0011916370679218495,-9.965746892492634e-05,0.0010919795989969231
P4CAR,1.0629368469812885,0.04140156464574307,0.0011948814933937664,0.006836429451905806,0.0012700835671042635,0.0002830388758991401,0.0015531224430034036
P5CAR,1.0002464132858515,0.6090822543909841,0.0011948814933937664,0.006836429451905806,0.0011951759280687568,0.0041639478625517075,0.005359123790620464
P1VAL,1.048215383701685,-0.13513673719900268,0.0011948814933937664,0.006836429451905806,0.0012524931630757893,-0.0009238527702217169,0.00032864039285407246
P2VAL,1.1140917691381322,-0.11498083287731732,0.0011948814933937664,0.006836429451905806,0.0013312076368854747,-0.0007860583522871516,0.0005451492845983232
P3VAL,1.0160012086110881,-0.08882280402756153,0.0011948814933937664,0.006836429451905806,0.0012140010414350886,-0.0006072308334548793,0.0006067702079802093
P4VAL,0.8882840098861828,0.028516474223815983,0.0011948814933937664,0.006836429451905806,0.0010613941242906054,0.00019495086424820834,0.0012563449885388137
P5VAL,0.892169853635402,0.3823957918129522,0.0011948814933937664,0.006836429451905806,0.0010660372470727671,0.0026142218534349073,0.003680259100507674
P1M1M,1.0072975759865332,0.07355114002965335,0.0011948814933937664,0.006836429451905806,0.0012036012318867098,0.0005028271799199703,0.0017064284118066802
P2M1M,1.029512325693295,-0.0330922548975906,0.0011948814933937664,0.006836429451905806,0.001230145225191694,-0.00022623286601186252,0.0010039123591798315
P3M1M,1.0030203163400246,-0.04208130097143345,0.0011948814933937664,0.006836429451905806,0.0011984904134926568,-0.00028768584533562006,0.0009108045681570367
P4M1M,1.0114440197660652,-0.09009209544030904,0.0011948814933937664,0.006836429451905806,0.0012085557408222703,-0.0006159082546520375,0.0005926474861702328
P5M1M,0.9519686622627027,0.10797276381136654,0.0011948814933937664,0.006836429451905806,0.0011374897368285244,0.0007381481825236956,0.00187563791935222
P1M3M,0.9917884114342395,0.07617760953397536,0.0011948814933937664,0.006836429451905806,0.0011850696181851753,0.0005207828533938496,0.0017058524715790249
P2M3M,1.033160287192022,-0.10874687427619142,0.0011948814933937664,0.006836429451905806,0.001234504106875136,-0.0007434403341044529,0.000491063772770683
P3M3M,1.0350578002534219,-0.06233530562130883,0.0011948814933937664,0.006836429451905806,0.0012367714101156756,-0.0004261509192430652,0.0008106204908726103
P4M3M,1.0084645690144294,-0.04163879513142759,0.0011948814933937664,0.006836429451905806,0.0012049956502586624,-0.00028466068537836366,0.0009203349648802988
P5M3M,0.9405597673295797,0.16248801594104811,0.0011948814933937664,0.006836429451905806,0.0011238574594128617,0.0011108378577611214,0.0022346953171739833
P1M6M,0.9977766711292085,0.06711379723715705,0.0011948814933937664,0.006836429451905806,0.0011922248788723297,0.00045881874006133496,0.0016510436189336648
P2M6M,1.0246244215663616,-0.05896326204985439,0.0011948814933937664,0.006836429451905806,0.0012243047590089382,-0.00040309818125806445,0.0008212065777508737
P3M6M,1.0803842705358202,-0.09142160023999822,0.0011948814933937664,0.006836429451905806,0.0012909311706169758,-0.0006249973204210828,0.000665933850195893
P4M6M,1.0136466572225835,-0.0591190316794718,0.0011948814933937664,0.006836429451905806,0.00121118763155572,-0.00040416308934169336,0.0008070245422140265
P5M6M,0.8988966154702859,0.1614895837255786,0.0011948814933937664,0.006836429451905806,0.0010740749302997374,0.001104012146357554,0.002178087076657291
P1M1Y,0.9945238734857516,0.07482422837559614,0.0011948814933937664,0.006836429451905806,0.001188338171166408,0.0005115305585830516,0.0016998687297494596
P2M1Y,1.0373177121857793,-0.10096639821646017,0.0011948814933937664,0.006836429451905806,0.0012394717370603492,-0.0006902496584198581,0.0005492220786404911
P3M1Y,1.0590456316642154,-0.08313775003690432,0.0011948814933937664,0.006836429451905806,0.0012654340259350824,-0.0005683653629174757,0.0006970686630176067
P4M1Y,1.0392823985601498,-0.027974632654688483,0.0011948814933937664,0.006836429451905806,0.0012418193044494074,-0.00019124660258675825,0.0010505727018626492
P5M1Y,0.8867332927407787,0.1640873432741518,0.0011948814933937664,0.006836429451905806,0.0010595412010720735,0.0011217715462443895,0.002181312747316463
