date,price
31/01/1951,21.45306997
28/02/1951,22.2521235
30/03/1951,21.87788324
30/04/1951,22.17120669
31/05/1951,22.18132129
29/06/1951,21.79696643
31/07/1951,22.18132129
31/08/1951,23.15232304
28/09/1951,23.74908454
31/10/1951,23.62770932
30/11/1951,22.97026021
31/12/1951,23.67828232
31/01/1952,24.46722125
29/02/1952,24.02217878
31/03/1952,24.08286639
30/04/1952,24.01206418
30/05/1952,24.00194958
30/06/1952,24.65939868
31/07/1952,25.36742079
29/08/1952,25.46856681
30/09/1952,25.06398274
31/10/1952,24.53802346
28/11/1952,25.31684778
31/12/1952,26.33842254
30/01/1953,26.48002697
27/02/1953,26.15635971
31/03/1953,26.28784953
30/04/1953,24.99318053
29/05/1953,25.12467035
30/06/1953,24.22447081
31/07/1953,24.56836726
31/08/1953,24.66951328
30/09/1953,23.5366779
30/10/1953,24.24470001
30/11/1953,24.7807739
31/12/1953,25.11455575
29/01/1954,25.75177565
26/02/1954,26.31819334
31/03/1954,26.87449643
30/04/1954,27.9466442
31/05/1954,29.05925037
30/06/1954,29.29188621
30/07/1954,30.47529459
31/08/1954,31.08217069
30/09/1954,31.810422
29/10/1954,32.54878792
30/11/1954,33.82322772
31/12/1954,35.37076176
31/01/1955,36.00798166
28/02/1955,37.21161925
31/03/1955,36.91829581
29/04/1955,38.19273561
31/05/1955,38.03090198
30/06/1955,40.23588513
29/07/1955,43.17923419
31/08/1955,42.91625455
30/09/1955,44.84814345
31/10/1955,42.5925873
30/11/1955,45.46513415
30/12/1955,45.88994742
31/01/1956,44.65596602
29/02/1956,44.93917487
30/03/1956,48.03424296
30/04/1956,48.60066064
31/05/1956,47.0733558
29/06/1956,46.80026156
31/07/1956,49.33902656
31/08/1956,49.04570311
28/09/1956,47.37679385
31/10/1956,46.76991776
30/11/1956,46.28441688
31/12/1956,46.97220979
31/01/1957,45.95063503
28/02/1957,43.96817312
29/03/1957,44.5345908
30/04/1957,45.56628017
31/05/1957,47.31610624
28/06/1957,48.09493056
31/07/1957,49.06593232
30/08/1957,46.36533369
30/09/1957,44.4840178
31/10/1957,41.71261696
29/11/1957,40.81241742
31/12/1957,40.79218822
31/01/1958,41.59124174
28/02/1958,41.73284616
31/03/1958,42.5925873
30/04/1958,42.82522314
30/05/1958,44.20080895
30/06/1958,45.26284212
31/07/1958,46.50693812
29/08/1958,48.24664959
30/09/1958,49.52108939
31/10/1958,51.53389511
28/11/1958,53.10165835
31/12/1958,54.10300391
30/01/1959,56.25741405
27/02/1959,55.39767291
31/03/1959,56.80360253
30/04/1959,57.75437508
29/05/1959,58.62423082
30/06/1959,58.11850074
31/07/1959,60.4246299
31/08/1959,60.08073345
30/09/1959,57.70380208
30/10/1959,57.65322907
30/11/1959,57.8858649
31/12/1959,59.736837
29/01/1960,58.69503303
29/02/1960,56.41924767
31/03/1960,55.65053795
29/04/1960,56.36867467
31/05/1960,55.85282999
30/06/1960,57.91620871
29/07/1960,56.47993528
31/08/1960,57.15761359
30/09/1960,55.43813132
31/10/1960,54.34575435
30/11/1960,56.10569502
30/12/1960,57.45093704
31/01/1961,60.4044007
28/02/1961,62.88247809
31/03/1961,64.8548254
28/04/1961,66.58442227
31/05/1961,67.26210058
30/06/1961,66.37201564
31/07/1961,66.18995281
31/08/1961,68.56688418
29/09/1961,68.0308103
31/10/1961,68.77929082
30/11/1961,71.89458811
29/12/1961,72.56215181
31/01/1962,69.86155319
28/02/1962,71.02473237
30/03/1962,71.09553458
30/04/1962,68.82986383
31/05/1962,63.71187542
29/06/1962,56.26752865
31/07/1962,57.62288526
31/08/1962,59.19064851
28/09/1962,58.66468923
31/10/1962,56.81371714
30/11/1962,60.72806795
31/12/1962,63.35786437
31/01/1963,65.80559795
28/02/1963,66.67545369
29/03/1963,66.42258865
30/04/1963,69.54800054
31/05/1963,70.94381556
28/06/1963,70.91347175
31/07/1963,69.86155319
30/08/1963,71.79344209
30/09/1963,73.68487259
31/10/1963,73.86693542
29/11/1963,73.45223675
31/12/1963,75.02
31/01/1964,77.04
28/02/1964,77.8
31/03/1964,78.98
30/04/1964,79.46
29/05/1964,80.37
30/06/1964,81.69
31/07/1964,83.18
31/08/1964,81.83
30/09/1964,84.18
30/10/1964,84.86
30/11/1964,84.42
31/12/1964,84.75
29/01/1965,87.56
26/02/1965,87.43
31/03/1965,86.16
30/04/1965,89.11
31/05/1965,88.42
30/06/1965,84.12
30/07/1965,85.25
31/08/1965,87.17
30/09/1965,89.96
29/10/1965,92.42
30/11/1965,91.61
31/12/1965,92.43
31/01/1966,92.88
28/02/1966,91.22
31/03/1966,89.23
29/04/1966,91.06
31/05/1966,86.13
30/06/1966,84.74
29/07/1966,83.6
31/08/1966,77.1
30/09/1966,76.56
31/10/1966,80.2
30/11/1966,80.45
30/12/1966,80.33
31/01/1967,86.61
28/02/1967,86.78
31/03/1967,90.2
28/04/1967,94.01
31/05/1967,89.08
30/06/1967,90.64
31/07/1967,94.75
31/08/1967,93.64
29/09/1967,96.71
31/10/1967,93.9
30/11/1967,94
29/12/1967,96.47
31/01/1968,92.24
29/02/1968,89.36
29/03/1968,90.2
30/04/1968,97.59
31/05/1968,98.68
28/06/1968,99.58
31/07/1968,97.74
30/08/1968,98.86
30/09/1968,102.67
31/10/1968,103.41
29/11/1968,108.37
31/12/1968,103.86
31/01/1969,103.01
28/02/1969,98.13
31/03/1969,101.51
30/04/1969,103.69
30/05/1969,103.46
30/06/1969,97.71
31/07/1969,91.83
29/08/1969,95.51
30/09/1969,93.12
31/10/1969,97.24
28/11/1969,93.81
31/12/1969,92.06
30/01/1970,85.02
27/02/1970,89.5
31/03/1970,89.63
30/04/1970,81.52
29/05/1970,76.55
30/06/1970,72.72
31/07/1970,78.05
31/08/1970,81.52
30/09/1970,84.21
30/10/1970,83.25
30/11/1970,87.2
31/12/1970,92.15
29/01/1971,95.88
26/02/1971,96.75
31/03/1971,100.31
30/04/1971,103.95
31/05/1971,99.63
30/06/1971,99.7
30/07/1971,95.58
31/08/1971,99.03
30/09/1971,98.34
29/10/1971,94.23
30/11/1971,93.99
31/12/1971,102.09
31/01/1972,103.94
29/02/1972,106.57
31/03/1972,107.2
28/04/1972,107.67
31/05/1972,109.53
30/06/1972,107.14
31/07/1972,107.39
31/08/1972,111.09
29/09/1972,110.55
31/10/1972,111.58
30/11/1972,116.67
29/12/1972,118.05
31/01/1973,116.03
28/02/1973,111.68
30/03/1973,111.52
30/04/1973,106.97
31/05/1973,104.95
29/06/1973,104.26
31/07/1973,108.22
31/08/1973,104.25
28/09/1973,108.43
31/10/1973,108.29
30/11/1973,95.96
31/12/1973,97.55
31/01/1974,96.57
28/02/1974,96.22
29/03/1974,93.98
30/04/1974,90.31
31/05/1974,87.28
28/06/1974,86
31/07/1974,79.31
30/08/1974,72.15
30/09/1974,63.54
31/10/1974,73.9
29/11/1974,69.97
31/12/1974,68.56
31/01/1975,76.98
28/02/1975,81.59
31/03/1975,83.36
30/04/1975,87.3
30/05/1975,91.15
30/06/1975,95.19
31/07/1975,88.75
29/08/1975,86.88
30/09/1975,83.87
31/10/1975,89.04
28/11/1975,91.24
31/12/1975,90.19
30/01/1976,100.86
27/02/1976,99.71
31/03/1976,102.77
30/04/1976,101.64
31/05/1976,100.18
30/06/1976,104.28
30/07/1976,103.44
31/08/1976,102.91
30/09/1976,105.24
29/10/1976,102.9
30/11/1976,102.1
31/12/1976,107.46
31/01/1977,102.03
28/02/1977,99.82
31/03/1977,98.42
29/04/1977,98.44
31/05/1977,96.12
30/06/1977,100.48
29/07/1977,98.85
31/08/1977,96.77
30/09/1977,96.53
31/10/1977,92.34
30/11/1977,94.83
30/12/1977,95.1
31/01/1978,89.25
28/02/1978,87.04
31/03/1978,89.21
28/04/1978,96.83
31/05/1978,97.29
30/06/1978,95.53
31/07/1978,100.68
31/08/1978,103.29
29/09/1978,102.54
31/10/1978,93.15
30/11/1978,94.7
29/12/1978,96.11
31/01/1979,99.93
28/02/1979,96.28
30/03/1979,101.59
30/04/1979,101.76
31/05/1979,99.08
29/06/1979,102.91
31/07/1979,103.81
31/08/1979,109.32
28/09/1979,109.32
31/10/1979,101.82
30/11/1979,106.16
31/12/1979,107.94
31/01/1980,114.16
29/02/1980,113.66
31/03/1980,102.09
30/04/1980,106.29
30/05/1980,111.24
30/06/1980,114.24
31/07/1980,121.67
29/08/1980,122.38
30/09/1980,125.46
31/10/1980,127.47
28/11/1980,140.52
31/12/1980,135.76
30/01/1981,129.55
27/02/1981,131.27
31/03/1981,136
30/04/1981,132.81
29/05/1981,132.59
30/06/1981,131.21
31/07/1981,130.92
31/08/1981,122.79
30/09/1981,116.18
30/10/1981,121.89
30/11/1981,126.35
31/12/1981,122.55
29/01/1982,120.4
26/02/1982,113.11
31/03/1982,111.96
30/04/1982,116.44
31/05/1982,111.88
30/06/1982,109.61
30/07/1982,107.09
31/08/1982,119.51
30/09/1982,120.42
29/10/1982,133.71
30/11/1982,138.54
31/12/1982,140.64
31/01/1983,145.3
28/02/1983,148.06
31/03/1983,152.96
29/04/1983,164.42
