YM,P1CAR,P2CAR,P3CAR,P4CAR,P5CAR,P1VAL,P2VAL,P3VAL,P4VAL,P5VAL,P1M1M,P2M1M,P3M1M,P4M1M,P5M1M,P1M3M,P2M3M,P3M3M,P4M3M,P5M3M,P1M6M,P2M6M,P3M6M,P4M6M,P5M6M,P1M1Y,P2M1Y,P3M1Y,P4M1Y,P5M1Y,DOL,CAR,vol
1976-02,0.00360378809209177,-0.00258596208189912,0.00840620932897726,-0.00191270718654474,-0.0551665465291546,0.00336069763400471,-0.000408406282381753,-0.000864553273288257,-0.055055616612046,0.00734269062794059,-0.0283734019545855,-0.00950449224228815,-0.000371486534307959,-0.0012428056453538,0.0124331664404538,-0.000341717634447547,0.000184561132147051,-0.0275244205150853,-0.00557375288493437,0.0137979400077234,-0.000341717634447547,-0.0292022038978516,-0.00193614674024511,4.41798746745885e-05,0.0137979400077234,0.00282264451760447,-0.00266253069763824,-0.00265330381813167,-0.0393213736649893,0.0100030028479333,-0.00662923383468165,-0.05877033462124637,0.06408607847501954
1976-03,0.00461699088908752,0.00456567352688147,-0.0121055091969922,-0.0235437132341174,-0.0376815783124875,0.00853550017353803,0.00444440317345799,-0.00709645221466876,-0.0123888313161814,-0.0658849268560658,-0.0246390134454391,-0.0154891573007588,-0.00684115763545017,-0.00732910879000031,0.0051054004591887,-0.024768508604139,-0.0154891573007588,-0.00673484641929594,-0.00717665486504597,0.00523650731347884,-0.024768508604139,-0.0154891573007588,-0.00673484641929594,-0.00717665486504597,0.00523650731347884,-0.024768508604139,-0.0154891573007588,-0.00673484641929594,-0.00717665486504597,0.00523650731347884,-0.0112145763378825,-0.04229856920157502,0.07290629806347457
1976-04,0.00295028015516084,0.00224460310491101,-0.0053812166385421,0.00387674312398567,-0.0209844431553071,0.00412235303618387,0.00296039934534939,0.00834714442559213,0.00346659027783122,-0.0426436683942184,-0.0246696721598285,0.000506585315708957,0.00415806905415516,0.00510661531204839,0.00594078684879298,-0.0278697947183886,0.0044250603861781,0.00224460310491101,0.00492974416396258,0.0101467972746564,-0.0278697947183886,0.0044250603861781,0.00224460310491101,0.00492974416396258,0.0101467972746564,-0.0278697947183886,0.0044250603861781,0.00224460310491101,0.00492974416396258,0.0101467972746564,-0.0024348756684527,-0.023934723310467938,0.05160949381188433
1976-05,-0.00854956657811409,-0.0136981968251507,-0.0161494864368157,-0.0109195588471924,0.0218919645650736,-0.00563019350784024,-0.0183259069090132,-0.0117835488403118,-0.0125355180939602,0.0222608725907784,0.00722332886708737,-0.0180900844692247,0.00746717786766467,-0.0206463358756136,-0.0163325492641523,0.016313481399058,-0.0260217988615569,-0.0136981968251507,-0.0071910655066754,-0.0054941245228952,0.0162204623703739,-0.025948887844122,-0.0136981968251507,-0.0071910655066754,-0.00551404110651406,0.0162204623703739,-0.025948887844122,-0.0136981968251507,-0.0071910655066754,-0.00551404110651406,-0.00755347713004779,0.030441531143187688,0.059331463477305904
1976-06,0.00295624559258316,-7.99711968125732e-05,0.00630892883878207,-0.00300574787759661,0.0122131770657186,0.000826527615411219,0.00457732817823265,0.000227512720166177,-0.00300557402456741,0.0194024984974335,0.0117525723635581,-0.00845638548745892,0.00011652091300998,0.00674060678653401,0.00565275211710545,0.0137224978537545,-0.00584122717663306,0.00211152702812902,0.00622226486729036,-0.00367970275994748,0.016220694598643,-0.00721931553739163,0.001758438161006,0.00182926929125808,0.00334781564758223,0.016220694598643,-0.00721931553739163,0.001758438161006,0.00182926929125808,0.00334781564758223,0.00288918663743722,0.00925693147313544,0.06198989290290294
1976-07,0.00700631255253544,0.00500407135488781,0.00323331416335138,-0.00369331406810788,0.0114393440300438,0.00700631255253544,0.00712900359060052,-0.00843424879883465,0.00640070670148671,0.0113041101656864,0.0139721652385269,-0.00709153131754789,0.0070221913654356,0.00903237166159935,0.00528465840074542,0.0212423143919744,0.00925585885709668,-0.00813376841904051,0.000165392030416247,0.00540375481623314,0.0197019436924787,-0.00350615618972932,0.00965887500703972,0.00601257272098028,-0.00767754653663572,0.0197019436924787,-0.00350615618972932,0.00965887500703972,0.00601257272098028,-0.00767754653663572,0.00376726240801546,0.00443303147750836,0.03674440389612316
1976-08,0.00439795428507027,0.0123142814300686,0.00780370063376179,0.00686983936422997,0.0202708280120033,0.00439795428507027,0.0179202928424252,0.00923526050034794,0.0124956789865698,0.0023392473292426,-0.000348666823572484,0.011756195938412,0.00770965870088192,0.0210770770833287,0.00538682896578813,0.00345566246827522,0.0176019853645212,0.0106285777448544,-0.000311717288092601,0.0190495416125792,0.0142652978517371,0.0120099641501288,0.00710574038945892,0.00791801219657333,0.00505953766868269,0.0141720587351856,0.0121759025168248,0.00729980212332997,0.00789030910374864,0.00505953766868269,0.00935691945056035,0.01587287372693303,0.044831397406728056
1976-09,0.0297701362932292,0.0185606864663211,0.00679761899361053,0.0293889460819828,0.0231186528657113,0.0293417423605228,0.0416476274091455,0.0283702466745481,0.019672625070555,-0.0283281406647881,-0.0142033973571045,0.0156242594789922,0.040288351049129,0.0410588602385495,0.022585465921762,0.00884433020490417,0.0411239708500303,0.00546846286077712,0.0136833856610458,0.0434791523651898,-0.0168874846637676,0.0264232446144251,0.0293028860070028,0.0309983640807368,0.0432645240130928,-0.00277083427678422,0.0159583653170618,0.0376419600637045,0.0207250294471754,0.0413930599988805,0.0210680562004009,-0.006651483427517899,0.06905820403698419
1976-10,0.00858990496906074,0.0104193916976754,0.00371091580440812,0.0105269588141623,0.0172244649616201,0.0116564652886728,0.0252460010800352,0.0140486637120521,0.00100199061315498,-0.00760430403681413,-0.00285865892942421,-0.00673184665479338,0.018569831264933,0.0250467628493896,0.0169738713563519,-0.0123579585562901,0.0126700984679431,0.0197229530788378,0.0102860995443261,0.0216875127416247,-0.0123579585562901,0.00089962462620551,0.0198391299328555,0.025662351972874,0.0168515237868396,-0.00661645075972742,0.000140520625658921,0.018569831264933,0.0171320941897497,0.0242894782319802,0.00955033927430954,0.008634559992559361,0.07798060768129014
1976-11,-0.00358169887828557,-0.0144115459616149,0.000611864554099522,0.0256500597601352,0.025031983941802,-0.00358169887828557,0.00848562574103861,0.00959787321028183,-0.0133347827373194,0.0360607785051404,0.00201896664591292,0.00219951867126129,0.00274666798252399,0.00827481973253814,0.0110219951817611,0.0180324908929247,-0.0188735137740497,0.0014778541860848,0.0186445418698534,0.00684377483924594,0.0180842464125029,-0.0263599516135971,0.00726777230189641,0.0157363776762829,0.0136858820553123,0.0274655260372525,0.00232698400015574,-0.0216538402403981,0.00886351290146668,0.0109132350202086,0.00491627659454776,0.028613682820087572,0.09118056442869887
