Date,US 10 Year,UK 10 Year,US 3 month,UK 3 month,US Stock Market,UK Stock Market,USDperGBP
1956-01-31,0.002416666666666667,0.0037916666666666667,0.0019333333333333331,0.003391666666666667,13.0012485,6.8667,2.8064
1956-02-29,0.0023666666666666667,0.003841666666666667,0.0019166666666666666,0.0038916666666666665,13.4923716,6.5458,2.8088
1956-03-31,0.0024666666666666665,0.0039,0.0019166666666666666,0.004316666666666667,14.4722957,6.5519,2.8048
1956-04-30,0.00265,0.003825,0.0022416666666666665,0.004258333333333334,14.486981,7.1767,2.8059
1956-05-31,0.002558333333333333,0.003974999999999999,0.0021416666666666667,0.004125,13.5778808,6.9279,2.8025
1956-06-30,0.0025,0.0039833333333333335,0.0020166666666666666,0.004216666666666666,14.1563441,6.9352,2.798
1956-07-31,0.0025916666666666666,0.004016666666666667,0.0019166666666666666,0.004175,14.9313228,6.9715,2.7837
1956-08-31,0.002775,0.0040416666666666665,0.0022166666666666667,0.0041916666666666665,14.4065653,7.1234,2.7788
1956-09-30,0.0028166666666666665,0.004050000000000001,0.002425,0.004258333333333334,13.7999755,7.0971,2.7823
1956-10-31,0.0027833333333333334,0.004058333333333333,0.0023833333333333332,0.004208333333333333,13.9166051,7.0122,2.7825
1956-11-30,0.0029083333333333335,0.00415,0.002533333333333333,0.004175,13.8071247,6.5649,2.7821
1956-12-31,0.0029916666666666663,0.003974999999999999,0.0026833333333333336,0.004108333333333333,14.3375005,6.9513,2.7856
1957-01-31,0.0028833333333333332,0.003741666666666667,0.0026,0.003916666666666666,13.7821348,7.4587,2.7975
1957-02-28,0.0027833333333333334,0.0038166666666666666,0.0027333333333333333,0.0035833333333333333,13.3757546,7.5518,2.7975
1957-03-31,0.002841666666666667,0.0038916666666666665,0.0024666666666666665,0.0034000000000000002,13.6831226,7.6257,2.7876
1957-04-30,0.0029,0.003925,0.0025083333333333333,0.0033416666666666664,14.2334506,8.1119,2.7912
1957-05-31,0.003,0.004083333333333334,0.0027583333333333336,0.0032083333333333334,14.8042406,8.2022,2.7903
1957-06-30,0.0031666666666666666,0.004158333333333333,0.0026833333333333336,0.003225,14.8304855,8.3492,2.7912
1957-07-31,0.003275,0.004175,0.0028166666666666665,0.0032083333333333334,15.0454211,8.4206,2.7846
1957-08-31,0.003275,0.004424999999999999,0.002916666666666667,0.0033166666666666665,14.2467005,8.2261,2.7821
1957-09-30,0.0032666666666666664,0.004633333333333333,0.0028833333333333332,0.004533333333333334,13.4107709,7.5055,2.7953
1957-10-31,0.0033083333333333337,0.004633333333333333,0.003,0.0055,13.0279806,7.0964,2.7961
1957-11-30,0.0031000000000000003,0.004633333333333333,0.002616666666666667,0.00545,13.2847165,7.2261,2.805
1957-12-31,0.002675,0.004508333333333334,0.0022916666666666667,0.005358333333333333,12.7813799,7.1508,2.8093
1958-01-31,0.002575,0.004366666666666667,0.0012916666666666667,0.005233333333333334,13.3750125,7.0408,2.8156
1958-02-28,0.0025416666666666665,0.004433333333333333,0.0010583333333333334,0.005016666666666667,13.1464391,6.7143,2.8143
1958-03-31,0.0024833333333333335,0.004383333333333333,0.0009166666666666668,0.004808333333333333,13.5994665,7.1966,2.8162
1958-04-30,0.0024,0.004233333333333334,0.001,0.0044083333333333335,14.0788642,7.5727,2.8175
1958-05-31,0.0024333333333333334,0.004241666666666666,0.0004833333333333333,0.004175,14.3362077,7.6658,2.8156
1958-06-30,0.002475,0.004216666666666666,0.000625,0.0037166666666666667,14.7569665,8.0905,2.8034
1958-07-31,0.002666666666666667,0.004166666666666667,0.0007583333333333334,0.0034583333333333337,15.4401197,8.1475,2.805
1958-08-31,0.00295,0.004216666666666666,0.0019416666666666666,0.003175,15.6704768,8.6658,2.8003
1958-09-30,0.003133333333333333,0.004158333333333333,0.0022500000000000003,0.0030416666666666665,16.4759359,8.9998,2.8065
1958-10-31,0.0031666666666666666,0.004125,0.0021249999999999997,0.0030416666666666665,16.94193,9.3357,2.8059
1958-11-30,0.003116666666666667,0.004208333333333333,0.0023166666666666665,0.002891666666666667,17.369565,9.4699,2.8043
1958-12-31,0.0032166666666666667,0.0042,0.0022333333333333333,0.0026333333333333334,18.3213981,10.1352,2.8021
1959-01-31,0.0033499999999999997,0.0041333333333333335,0.0022,0.002608333333333333,18.4399761,9.9894,2.8087
1959-02-28,0.0033,0.004208333333333333,0.0023,0.0025833333333333333,18.4856596,10.2866,2.8098
1959-03-31,0.0033250000000000003,0.004216666666666666,0.0023166666666666665,0.00275,18.5448357,10.3935,2.8158
1959-04-30,0.0034333333333333334,0.0041916666666666665,0.002375,0.0027083333333333334,19.3139426,10.91,2.8158
1959-05-31,0.003591666666666666,0.004275,0.0025666666666666667,0.002775,19.7295144,11.3047,2.8113
1959-06-30,0.0036166666666666665,0.00415,0.002616666666666667,0.002875,19.7090379,11.375,2.8131
1959-07-31,0.003666666666666667,0.00415,0.0025,0.0028833333333333332,20.4475018,11.2194,2.8106
1959-08-31,0.0036916666666666664,0.004316666666666667,0.0032333333333333333,0.0029083333333333335,20.1910165,12.2314,2.8052
1959-09-30,0.0039,0.0044083333333333335,0.0034166666666666664,0.0029,19.3206116,12.0275,2.8035
1959-10-31,0.003775,0.0041333333333333335,0.0033333333333333335,0.0028666666666666667,19.5897782,13.8304,2.8052
1959-11-30,0.003775,0.004175,0.0037,0.0028250000000000003,19.9005511,14.221,2.801
1959-12-31,0.003908333333333334,0.004291666666666667,0.003666666666666667,0.0030083333333333333,20.5024572,15.2502,2.7995
1960-01-31,0.003933333333333333,0.0044083333333333335,0.0033250000000000003,0.0037833333333333334,19.0926291,15.2209,2.8023
1960-02-29,0.003741666666666667,0.004566666666666667,0.003491666666666667,0.0037916666666666667,19.3232831,14.9517,2.8037
1960-03-31,0.0035416666666666665,0.004575,0.0025166666666666666,0.00385,19.110448,15.1246,2.8073
1960-04-30,0.0035666666666666668,0.0045583333333333335,0.002533333333333333,0.0038750000000000004,18.8316498,14.34,2.8081
1960-05-31,0.0036249999999999998,0.004566666666666667,0.0026,0.0037999999999999996,19.3935764,14.9151,2.8019
1960-06-30,0.0034583333333333337,0.004758333333333333,0.001825,0.004733333333333333,19.8287235,14.5668,2.8062
1960-07-31,0.00325,0.004758333333333333,0.001825,0.004625,19.3940964,14.6505,2.8081
1960-08-31,0.0031666666666666666,0.004841666666666666,0.0021416666666666667,0.004658333333333333,19.9574147,15.5056,2.8106
1960-09-30,0.0031666666666666666,0.004783333333333334,0.0019166666666666666,0.004641666666666667,18.8090028,15.4099,2.81
1960-10-31,0.0032416666666666666,0.004683333333333334,0.0017666666666666668,0.004241666666666666,18.8202312,15.6778,2.8156
1960-11-30,0.003275,0.004741666666666667,0.002,0.0038666666666666663,19.6353825,14.9604,2.8106
1960-12-31,0.0031999999999999997,0.004833333333333334,0.0018333333333333335,0.0036249999999999998,20.6014928,15.2149,2.8038
1961-01-31,0.0031999999999999997,0.004933333333333333,0.0018999999999999998,0.003475,21.9599142,15.8886,2.8044
1961-02-28,0.00315,0.0051,0.00215,0.003666666666666667,22.6074693,16.7336,2.7956
1961-03-31,0.003116666666666667,0.0051,0.0020166666666666666,0.003741666666666667,23.2423478,17.5148,2.7975
1961-04-30,0.00315,0.005016666666666667,0.0018916666666666667,0.0036750000000000003,23.3894049,17.9624,2.7963
1961-05-31,0.0030916666666666666,0.005158333333333333,0.00195,0.0037,23.894871,17.8017,2.7919
